email_text,label
"Congratulations, you've won a free prize! Click here to claim.",spam
"Hey, are we still meeting tomorrow at 10 am?",ham
Get rich quick with this easy investment opportunity.,spam
Meeting has been moved to 3 PM. Let me know if that works for you.,ham
Claim your free gift card now!,spam
Your subscription has been successfully renewed.,ham
Earn cash fast by following this simple method.,spam
Please find attached the report for last week's project update.,ham
You have an unpaid invoice. Pay now to avoid penalties.,spam
Let’s schedule a call to discuss the project details.,ham
